Rank,Rating,Name,Subtitle,Year,MinPlayers,MaxPlayers,BestPlayers,MinPlayTime,MaxPlayTime,MinAge,Weight,Type
42,7.784,Pandemic Legacy: Season 2,The world is a mystery after a devastating pandemic—where will your team go?,2017,2,4,4,60,60,14,3.23,"Strategy,  Thematic"
43,7.778,The Crew: The Quest for Planet Nine,Go on a planet-discovering space mission in this cooperative trick-taking game.,2019,2,5,4,20,20,10,1.99,Family
44,7.776,Barrage,Nations vie for hydroelectric dominance in a dystopia where water is power.,2019,1,4,4,60,120,14,4.05,Strategy 
45,7.768,Underwater Cities,"Develop future cities on the seafloor through politics, production, and science.",2018,1,4,2,80,150,12,3.61,Strategy
46,7.755,Anachrony,Use Exosuits & time travel to ensure your vision for the future after the cataclysm.,2017,1,4,3,30,120,15,4.01,Strategy
47,7.741,Tzolk'in: The Mayan Calendar,"Lead your people, build monuments and make offerings to earn the favour of the gods.",2012,2,4,4,90,90,13,3.67,Strategy
48,7.738,Power Grid,"Bid, network, and manage resources in a race to supply the most cities with power. ",2004,2,6,"4, 5",120,120,12,3.27,Strategy
49,7.733,Kingdom Death: Monster,Try to survive in a nightmarish world that lies under eternal darkness.,2015,1,4,4,60,180,17,4.26,Thematic
50,7.732,Pax Pamir: Second Edition,"Swing the tides of ""The Great Game"" as countries vie for control of Afghanistan.",2019,1,5,4,45,120,13,3.82,Strategy
51,7.729,The 7th Continent,Journey through a vibrant but deadly land to uncover the key to lifting your curse.,2017,1,4,"1, 2",5,1000,14,2.89,Thematic
52,7.723,Clans of Caledonia,"Lead your unique Scottish clan to economic might via production, trade, and export.",2017,1,4,4,30,120,12,3.46,Strategy
53,7.72,Mechs vs. Minions,Cooperatively program and pilot your mechs to defeat an army of marauding minions.,2016,2,4,4,60,120,14,2.42,"Strategy,  Thematic"
54,7.719,Star Wars: Imperial Assault,Play as Rebel or Imperial forces to fulfil mission objectives.,2014,1,5,"2, 5",60,120,14,3.3,Thematic
